Ce	PRO:DEM	ce
film	NOM	film
nous	PRO:PER	nous
donne	VER:pres	donner
l’occasion	NOM	l’occasion
de	PRP	de
retrouver	VER:infi	retrouver
un	DET:ART	un
Jean	NAM	Jean
Pierre	NAM	Pierre
Bacri	NAM	Bacri
r	VER:simp	r
leur	PRO:PER	lui
et	KON	et
touchant	VER:ppre	toucher
à	PRP	à
souhait	NOM	souhait
et	KON	et
de	PRP	de
découvrir	VER:infi	découvrir
Pascal	NAM	Pascal
Bonitzer	NAM	Bonitzer
Rien	NAM	Rien
sur	PRP	sur
Robert	NAM	Robert
dans	PRP	dans
un	DET:ART	un
registre	NOM	registre
jovial	ADJ	jovial
jouissif	ADJ	jouissif
et	KON	et
moins	ADV	moins
hermétique	ADJ	hermétique
qu’à	NOM	qu’à
l’accoutumée	VER:pper	l’accoutumée
,	PUN	,
P	NAM	P
