5	NUM	@card@
ans	NOM	an
de	PRP	de
réflexion	NOM	réflexion
nous	PRO:PER	nous
offre	VER:pres	offrir
l'héroïne	NOM	l'héroïne
la	DET:ART	le
plus	ADV	plus
crédible	ADJ	crédible
que	KON	que
l'on	NOM	l'on
ait	VER:subp	avoir
vue	VER:pper	voir
depuis	PRP	depuis
longtemps	ADV	longtemps
dans	PRP	dans
le	DET:ART	le
genre	NOM	genre
incarnée	VER:pper	incarner
par	PRP	par
la	DET:ART	le
pétillante	ADJ	pétillant
Emily	NAM	Emily
Blunt	NAM	Blunt
On	NAM	On
adore	VER:pres	adorer
les	DET:ART	le
scènes	NOM	scène
d'engueulades	ADJ	d'engueulades
du	PRP:det	du
film	NOM	film
au	PRP:det	au
point	NOM	point
de	PRP	de
regretter	VER:infi	regretter
l'issue	ADJ	l'issue
du	PRP:det	du
conflit	NOM	conflit
un	DET:ART	un
peu	ADV	peu
trop	ADV	trop
convenue	VER:pper	convenir
,	PUN	,
P	NAM	P
