Bonitzer	NAM	Bonitzer
choyant	VER:ppre	choyer
une	DET:ART	un
équation	NOM	équation
narrative	ADJ	narratif
un	DET:ART	un
peu	ADV	peu
molle	ADJ	mou
dissimule	VER:pres	dissimuler
néanmoins	ADV	néanmoins
sous	PRP	sous
le	DET:ART	le
rire	NOM	rire
et	KON	et
une	DET:ART	un
musique	NOM	musique
impeccable	ADJ	impeccable
un	DET:ART	un
gros	ADJ	gros
attirail	NOM	attirail
La	DET:ART	le
comédie	NOM	comédie
aussi	ADV	aussi
a	VER:pres	avoir
ses	DET:POS	son
tirs	NOM	tir
de	PRP	de
barrage	NOM	barrage
,	PUN	,
N	VER:pper	N
